"행정구역(시군구)별","연령별","항목","단위","2025.04 월","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"서울특별시","76세","총인구수[명]","명","73003","48596","53650","52772","60021","72519","59938","59974","56989","63299","77140","74253",
"서울특별시","77세","총인구수[명]","명","73204","43781","46780","51775","50860","57783","70345","58114","57143","54985","61726","75184",
"서울특별시","78세","총인구수[명]","명","69817","39642","42051","44952","49861","48945","56062","67961","55201","54982","53348","59990",
"서울특별시","79세","총인구수[명]","명","49282","37078","37947","40378","43160","47719","47216","53952","64505","52751","53151","51733",
"서울특별시","80세","총인구수[명]","명","51070","31228","35347","36169","38593","41292","45815","45303","50879","61301","50902","51195",
"서울특별시","81세","총인구수[명]","명","48283","26357","29561","33524","34377","36763","39499","43763","42441","48198","58700","48823",
"서울특별시","82세","총인구수[명]","명","53698","23831","24918","27914","31713","32399","34909","37489","40784","39920","45877","55954",
"서울특별시","83세","총인구수[명]","명","48385","19570","22301","23338","26206","29710","30674","32947","34774","38021","37680","43542",
"서울특별시","84세","총인구수[명]","명","36476","17768","18218","20704","21753","24311","27939","28717","30260","32121","35672","35431",
"서울특별시","85세","총인구수[명]","명","32886","16395","16418","16809","19206","20073","22645","26011","26156","27784","29804","33261",
"서울특별시","86세","총인구수[명]","명","29271","13972","14925","14956","15377","17581","18612","20923","23387","23610","25648","27529",
"서울특별시","87세","총인구수[명]","명","23884","11857","12640","13516","13515","13961","16033","17100","18649","20869","21523","23409",
"서울특별시","88세","총인구수[명]","명","20576","8967","10555","11429","12208","11997","12629","14573","15059","16429","18774","19475",
"서울특별시","89세","총인구수[명]","명","17029","7394","7918","9357","10165","10782","10732","11268","12620","12956","14634","16631",
"서울특별시","90세","총인구수[명]","명","13618","5977","6413","6907","8200","8836","9536","9536","9549","10670","11300","12786",
"서울특별시","91세","총인구수[명]","명","10341","5950","5107","5522","5892","7080","7732","8391","8034","7810","9131","9732",
"서울특별시","92세","총인구수[명]","명","7818","4606","5055","4324","4695","5004","6115","6722","6808","6511","6569","7750",
"서울특별시","93세","총인구수[명]","명","6086","3327","3825","4229","3589","3893","4258","5239","5324","5459","5341","5459",
"서울특별시","94세","총인구수[명]","명","4324","2602","2812","3171","3501","2991","3207","3615","4100","4086","4468","4340",
"서울특별시","95세","총인구수[명]","명","3480","1852","2154","2312","2569","2895","2451","2662","2617","3043","3233","3580",
"서울특별시","96세","총인구수[명]","명","2654","1329","1540","1793","1851","2092","2420","2031","1832","1858","2360","2501",
"서울특별시","97세","총인구수[명]","명","1800","1157","1090","1239","1436","1507","1753","1995","1379","1232","1387","1813",
"서울특별시","98세","총인구수[명]","명","1226","928","950","913","1010","1178","1241","1423","1257","921","887","1020",
"서울특별시","99세","총인구수[명]","명","645","676","773","801","736","818","977","1069","835","764","670","613",
"서울특별시","100세 이상","총인구수[명]","명","1499","4671","5037","5475","5519","5843","6244","6792","1643","1292","1448","1484",
"부산광역시","계","총인구수[명]","명","3256408","3519401","3513777","3498529","3470653","3441453","3413841","3391946","3350380","3317812","3293362","3266598",
"부산광역시","0세","총인구수[명]","명","13161","25165","25731","23906","20494","18531","16478","14785","14112","13792","12620","12847",
"부산광역시","1세","총인구수[명]","명","12723","25811","26379","26766","24546","21375","19173","17149","15294","14862","14371","13063",
"부산광역시","2세","총인구수[명]","명","13848","28779","26059","26409","26663","24529","21401","19312","17336","15580","15046","14374",
"부산광역시","3세","총인구수[명]","명","15068","27781","28866","26100","26164","26554","24411","21565","19420","17495","15703","15137",
"부산광역시","4세","총인구수[명]","명","15437","27278","27963","28863","25913","26104","26500","24563","21616","19543","17620","15715",
"부산광역시","5세","총인구수[명]","명","16987","25002","27481","27971","28685","25834","26130","26588","24566","21678","19562","17651",
"부산광역시","6세","총인구수[명]","명","18842","26289","25214","27394","27748","28642","25864","26220","26603","24621","21787","19674",
"부산광역시","7세","총인구수[명]","명","21085","27907","26404","25249","27241","27672","28565","25895","26226","26654","24689","21789",
"부산광역시","8세","총인구수[명]","명","23465","25090","28002","26417","25022","27226","27662","28642","25835","26284","26730","24711",
"부산광역시","9세","총인구수[명]","명","26462","24665","25128","28012","26256","24975","27137","27637","28603","25868","26275","26775",
"부산광역시","10세","총인구수[명]","명","26685","27073","24795","25147","27829","26227","24926","27143","27599","28577","25885","26331",
"부산광역시","11세","총인구수[명]","명","25849","28801","27192","24762","25013","27726","26230","24917","27111","27619","28593","25902",
"부산광역시","12세","총인구수[명]","명","27788","28975","28868","27141","24646","24976","27664","26210","24871","27072","27617","28647",
"부산광역시","13세","총인구수[명]","명","27752","33320","29064","28852","27049","24584","24908","27637","26161","24848","27042","27562",
"부산광역시","14세","총인구수[명]","명","27692","38182","33342","28991","28719","26973","24532","24901","27555","26096","24792","27048",
"부산광역시","15세","총인구수[명]","명","25020","37726","38182","33282","28824","28605","26892","24453","24838","27455","26014","24706",
"부산광역시","16세","총인구수[명]","명","25235","39761","37673","38088","33157","28741","28483","26732","24286","24694","27317","25822",
"부산광역시","17세","총인구수[명]","명","27361","41831","39750","37607","37918","33069","28714","28427","26663","24296","24633","27291",
"부산광역시","18세","총인구수[명]","명","25360","44739","41833","39588","37434","37790","32955","28586","28360","26619","24362","24612",
"부산광역시","19세","총인구수[명]","명","25026","46361","44804","41752","39455","37454","37936","33008","28661","28658","27084","24931",
"부산광역시","20세","총인구수[명]","명","26726","48311","46711","44836","41907","39632","37583","38289","33193","28925","29044","27588",
"부산광역시","21세","총인구수[명]","명","29812","48923","48556","46832","44966","42068","40046","38075","38734","33934","29619","29628",
"부산광역시","22세","총인구수[명]","명","30605","51306","49340","48753","46950","45384","42794","40894","39021","39972","35075","30720",
"부산광역시","23세","총인구수[명]","명","33195","49791","51083","49096","48615","47003","45628","43225","41000","39322","40456","35323",
"부산광역시","24세","총인구수[명]","명","38260","44665","49353","50489","48657","47937","46634","45148","42738","40266","38909","39829",
"부산광역시","25세","총인구수[명]","명","37932","45056","43769","48356","49413","47714","46820","45707","44129","41542","39187","37567",
"부산광역시","26세","총인구수[명]","명","36530","42994","43947","42718","47343","47895","46057","45717","44021","42681","40059","37794",
"부산광역시","27세","총인구수[명]","명","38400","41749","42123","42764","41735","45853","46539","44860","44285","42629","41443","38863",
"부산광역시","28세","총인구수[명]","명","39425","41561","40819","41303","41886","40543","44469","45393","43903","43162","41509","40436",
"부산광역시","29세","총인구수[명]","명","40182","42541","40813","40052","40319","40708","39579","43679","44525","42965","42286","40640",
"부산광역시","30세","총인구수[명]","명","40763","43447","41888","40009","39039","39294","39715","39083","42887","43858","42296","41436",
"부산광역시","31세","총인구수[명]","명","41101","48833","42702","41212","39207","38091","38430","39330","38549","42443","43299","41728",
"부산광역시","32세","총인구수[명]","명","42479","53481","48317","42126","40312","38376","37252","38016","38858","38030","41931","42678",
"부산광역시","33세","총인구수[명]","명","41590","56073","53043","47864","41524","39533","37629","36901","37579","38426","37636","41314",
"부산광역시","34세","총인구수[명]","명","37922","56048","55714","52528","47131","40752","38889","37399","36625","37348","38091","37193",
